"","st_fips","cty_fips","pop","mcare_elig","unemp","pct_pov","uninsured","median_inc","mcare_enroll","year"
"325",12,1,249365,32874,7.7,23.5,20.4,39825,28788,2011
"326",12,3,27154,3926,9.9,18.6,17.9,42564,2780,2011
"327",12,5,169856,30373,10,14.4,21,44204,25284,2011
"328",12,7,28255,4786,8.8,23.1,20,39271,3306,2011
"329",12,9,543566,122311,11.1,14.2,20.5,46494,104718,2011
"330",12,11,1780172,255947,9.2,14.9,26,48478,221940,2011
"331",12,13,14750,2518,9.5,25.9,22.8,32395,1948,2011
"332",12,15,160511,50912,10.8,13.2,22.6,41346,41156,2011
"333",12,17,140031,48166,11.9,17.3,22.5,35041,38111,2011
"334",12,19,192370,29133,9.3,10.9,17,54867,21432,2011
"335",12,21,328134,72238,10.3,16.2,28.6,51039,68035,2011
"336",12,23,67485,12780,9.7,21.7,21.9,36452,10263,2011
"337",12,27,34894,5824,9.9,31,32.8,32753,4738,2011
"338",12,29,16486,3687,12.8,25.2,21.5,30801,2660,2011
"339",12,31,870709,121947,10.6,17.7,19.3,45995,98531,2011
"340",12,33,299114,56142,10.1,18.5,20.9,41072,44753,2011
"341",12,35,97376,26245,14.1,14.7,22.7,47095,22058,2011
"342",12,37,11596,2281,7.9,22.3,23.3,35288,1840,2011
"343",12,39,46151,8357,10.3,25.2,23.8,34154,6325,2011
"344",12,41,17004,3227,9.8,19.5,24,38046,2598,2011
"345",12,43,12635,1907,10.2,22.2,32.9,38825,965,2011
"346",12,45,15844,2985,10.2,23.2,21.5,37373,2562,2011
"347",12,47,14671,2487,11.3,31.9,20.9,29482,1974,2011
"348",12,49,27887,3729,10.3,31.8,32.6,33058,3025,2011
"349",12,51,39089,4684,14.4,29.6,35,35247,4018,2011
"350",12,53,173094,48954,13.4,16.6,22.2,40411,42497,2011
"351",12,55,98630,28666,10.4,18.8,28,33692,25537,2011
"352",12,57,1267775,175916,10.5,17.6,23.3,46592,143730,2011
"353",12,59,19873,4435,8.2,26.1,22.8,33211,3253,2011
"354",12,61,138894,37816,12.6,13.9,25,42053,34011,2011
"355",12,63,49292,10108,8.1,20.5,19.3,35193,8138,2011
"356",12,65,14658,2889,8.9,18.7,22.4,40252,2304,2011
"357",12,67,8942,908,8.1,23.8,26.8,40407,730,2011
"358",12,69,301019,76655,11.2,13.9,21.2,44965,103640,2011
"359",12,71,631330,136497,11.1,15.3,26.2,45515,119852,2011
"360",12,73,277971,31368,8,22.7,18.8,44857,25763,2011
"361",12,75,40156,9657,11.3,22,26.3,33544,6890,2011
"362",12,77,8314,1174,8.3,23.5,20.5,37446,860,2011
"363",12,79,19115,3723,11.5,25.9,22.9,31578,2974,2011
"364",12,81,327142,72442,10.8,15.9,24.5,43494,57339,2011
"365",12,83,332529,92672,12.3,17.6,24.2,36425,80038,2011
"366",12,85,147495,37104,10.8,12.7,21.8,50417,34213,2011
"367",12,86,2554766,383142,11.3,20.9,34.4,40476,340128,2011
"368",12,87,73873,13100,6.4,13.8,27.5,51152,11412,2011
"369",12,89,74195,14284,9.6,11.4,18.9,54706,11772,2011
"370",12,91,183482,30673,7.4,13.7,19.1,49643,26638,2011
"371",12,93,40140,7033,11.7,26.1,29.3,33806,6433,2011
"372",12,95,1169107,134884,10.3,18.5,24.5,44635,112708,2011
"373",12,97,276163,37929,11.6,16,26.4,40933,33204,2011
"374",12,99,1335187,263061,10.8,15.8,25.4,48973,243997,2011
"375",12,101,466457,102140,12,15.7,21,40859,82895,2011
"376",12,103,917398,201071,10.5,15,23,42761,172133,2011
"377",12,105,609492,119134,11.6,19.2,23.4,40258,93793,2011
"378",12,107,74041,16819,11.9,27.9,23.4,31150,12879,2011
"379",12,109,195823,34953,8.5,9.4,15.4,63299,31390,2011
"380",12,111,280379,58481,13,20.3,27,41384,47391,2011
"381",12,113,154104,24704,9.1,11.3,18.4,53155,19946,2011
"382",12,115,382213,109439,10.7,11.7,22.9,47457,111754,2011
"383",12,117,425071,58997,9.7,11.5,20.1,54449,45457,2011
"384",12,119,97756,44870,8.5,14.5,18.2,44595,8638,2011
"385",12,121,41972,9651,9.3,24.7,23.8,34947,7637,2011
"386",12,123,22691,4161,10.9,22.7,20.2,33863,3193,2011
"387",12,125,15388,1749,8.2,25.3,19.7,40743,1318,2011
"388",12,127,494804,114994,10.8,17.4,22.3,38477,99419,2011
"389",12,129,30978,4328,8.3,14.6,18,50716,4249,2011
"390",12,131,55793,10104,7.1,14.3,23.7,44763,6868,2011
"391",12,133,24935,5008,10.9,24.3,22.3,35004,3434,2011
"392",13,1,18420,3195,11,21.1,25.2,35164,2278,2011
"393",13,3,8413,1210,14,31.4,33.9,28693,933,2011
"394",13,5,11203,1925,9.9,24.5,26.7,31301,1244,2011
"395",13,7,3085,679,8.9,28.4,19.4,33347,122,2011
"396",13,9,44417,7369,13.7,29.2,19.1,34304,5472,2011
"397",13,11,18251,2904,7.3,19,24.4,42673,1599,2011
"398",13,13,69912,8720,9.3,15.6,22.6,50996,7298,2011
"399",13,15,100421,14189,10.2,19.1,23.5,45072,10654,2011
"400",13,17,17673,3304,13.8,29.4,23.6,29425,2536,2011
"401",13,19,19372,3299,12,24,25.6,33417,2507,2011
"402",13,21,156433,26886,10.5,25.4,19.7,35125,22569,2011
"403",13,23,13290,2298,13.7,21.7,18.2,39461,868,2011
"404",13,25,18367,2894,11.5,22.3,24.7,36300,1809,2011
"405",13,27,15889,3088,9.4,29.8,25,29282,2028,2011
"406",13,29,31377,3720,8.3,12.2,17.8,63092,3236,2011
