"","st_fips","cty_fips","pop","mcare_elig","unemp","pct_pov","median_inc","mcare_enroll","year","uninsured"
"390",12,109,235087,47959,3.7,7.7,78544,42752,2016,9.6
"391",12,111,306507,71788,5.7,17,45509,60748,2016,17.9
"392",12,113,170497,31448,4.5,10.6,62668,25740,2016,11.1
"393",12,115,412569,131534,4.6,10.8,55088,120352,2016,15.7
"394",12,117,455479,74437,4.3,11.4,61253,63669,2016,12.1
"395",12,119,123996,66553,7,10.5,56568,62576,2016,11.7
"396",12,121,43794,10694,4.9,20.4,40572,8740,2016,17.5
"397",12,123,22175,4735,5.5,22.5,40180,3812,2016,14.1
"398",12,125,15142,2048,4.4,24.7,43795,1545,2016,11.5
"399",12,127,529364,137330,5.1,14.2,45356,117371,2016,14.8
"400",12,129,31893,5525,4.1,13.1,56158,4522,2016,11.7
"401",12,131,65889,13405,4.3,13.1,54686,11293,2016,17.6
"402",12,133,24569,5389,5.2,22.8,34787,4190,2016,15
"403",12,1,266944,42840,3.7,21.2,45230,35453,2017,11.9
"404",12,3,28283,4808,4.1,15.3,51856,3571,2017,12
"405",12,5,183563,38209,4.1,14.9,51633,30400,2017,14.8
"406",12,7,27038,5626,3.6,19.1,44997,4406,2017,13.3
"407",12,9,589162,151331,4.2,12.4,52596,127329,2017,13
"408",12,11,1935878,317609,3.9,13.1,56702,272414,2017,16.9
"409",12,13,14483,2855,4.9,21.1,37612,2239,2017,15.2
"410",12,15,182033,66875,4.6,10.8,51583,57920,2017,17.1
